,TotalSleepInCol,WokeCounts,SEMarkers,TotalSleepInColBlock,RecallBlock,F1,SEOnlyREST,SESelfBlock,WASO,Recall,PrecisionBlock,SEGTBlock,TotalSleepTime,Specificity,Precision,PercentSleepBlock,SpecificityBlock,SESelfBlock5Min,~F1Block,SEInterval,F1Block,Accuracy,SEWholeDF,~F1,PercentSleep,AccuracyBlock,DeltaStartBlock,DeltaEndBlock
sazonov,67133.3  +- 13754.8 ,3190.5  +- 1182.6 ,65.4  +- 13.4 ,84727.4  +- 23446.3 ,88.1  +- 20.3 ,78.7  +- 9.7 ,71.9  +- 9.9 ,70.7  +- 12.9 ,27938.1  +- 14255.2 ,77.1  +- 12.5 ,93.9  +- 9.5 ,69.7  +- 13.4 ,62173.8  +- 13367.2 ,76.7  +- 14.4 ,81.9  +- 10.7 ,67.5  +- 17.6 ,86.3  +- 20.5 ,97.6  +- 3.3 ,76.8  +- 22.4 ,69.3  +- 11.8 ,88.7  +- 17.2 ,77.3  +- 9.0 ,53.9  +- 11.7 ,73.2  +- 12.9 ,53.9  +- 11.7 ,86.2  +- 16.7 ,1740 +- 2170,3397 +- 5700
tl_sazonov,86982.1  +- 16502.8 ,152.4  +- 151.7 ,84.2  +- 13.2 ,64635.7  +- 41309.1 ,65.6  +- 42.5 ,83.1  +- 8.5 ,91.2  +- 8.2 ,95.2  +- 6.5 ,10619.0  +- 11469.5 ,92.6  +- 9.8 ,75.4  +- 37.6 ,88.7  +- 11.8 ,79492.9  +- 15338.9 ,60.4  +- 18.7 ,76.3  +- 10.5 ,52.2  +- 33.2 ,82.6  +- 21.8 ,91.9  +- 16.4 ,65.5  +- 26.2 ,88.6  +- 10.6 ,65.9  +- 40.6 ,79.3  +- 9.4 ,69.6  +- 12.7 ,69.4  +- 17.1 ,69.6  +- 12.7 ,70.7  +- 29.3 ,2179 +- 2638,10859 +- 12717
resc_sazonov,40779.8  +- 17383.1 ,1658.3  +- 618.8 ,41.8  +- 18.6 ,45421.4  +- 30882.3 ,51.0  +- 34.1 ,62.9  +- 20.3 ,45.7  +- 18.0 ,67.4  +- 21.5 ,50565.5  +- 22314.0 ,51.7  +- 21.4 ,95.2  +- 19.2 ,44.9  +- 20.1 ,39546.4  +- 17500.1 ,92.0  +- 9.8 ,89.9  +- 12.1 ,37.0  +- 25.4 ,97.6  +- 9.1 ,96.1  +- 18.6 ,61.3  +- 23.2 ,44.1  +- 18.7 ,59.6  +- 32.8 ,69.4  +- 12.9 ,33.1  +- 14.7 ,71.6  +- 12.6 ,33.1  +- 14.7 ,63.3  +- 25.5 ,3915 +- 4312,9424 +- 8459
resc_tl_sazonov,76279.8  +- 18461.7 ,150.0  +- 155.6 ,75.8  +- 16.7 ,59039.3  +- 35009.9 ,63.9  +- 37.4 ,82.2  +- 11.2 ,82.8  +- 12.8 ,92.0  +- 12.2 ,18272.6  +- 16152.2 ,85.7  +- 14.8 ,88.3  +- 27.7 ,80.3  +- 16.6 ,71839.3  +- 17583.5 ,71.3  +- 19.0 ,80.7  +- 11.2 ,48.1  +- 28.5 ,91.3  +- 17.2 ,98.9  +- 2.8 ,67.6  +- 25.0 ,80.0  +- 15.1 ,68.3  +- 35.6 ,80.2  +- 10.5 ,61.2  +- 15.0 ,74.0  +- 16.3 ,61.2  +- 15.0 ,70.9  +- 27.9 ,2249 +- 2534,9569 +- 11817
tl_resc_sazonov,89972.6  +- 16302.9 ,106.0  +- 121.6 ,85.7  +- 12.2 ,68578.6  +- 40849.1 ,68.4  +- 41.2 ,81.5  +- 8.7 ,91.7  +- 7.5 ,96.6  +- 5.3 ,9538.1  +- 10339.4 ,92.5  +- 9.4 ,75.9  +- 36.4 ,89.8  +- 10.8 ,80573.8  +- 15259.1 ,55.0  +- 18.5 ,73.7  +- 10.6 ,55.2  +- 32.6 ,79.5  +- 21.9 ,89.1  +- 18.8 ,64.7  +- 25.2 ,89.6  +- 9.5 ,68.1  +- 39.3 ,77.0  +- 9.7 ,72.0  +- 12.2 ,65.0  +- 17.6 ,72.0  +- 12.2 ,71.9  +- 28.2 ,2243 +- 2551,10044 +- 12098
sazonov_max,269.0  +- 2465.9 ,1.2  +- 10.9 ,0.2  +- 2.3 ,269.0  +- 2465.9 ,0.3  +- 3.0 ,0.5  +- 4.9 ,0.3  +- 3.0 ,1.2  +- 10.9 ,89842.9  +- 15510.8 ,0.4  +- 3.2 ,1.2  +- 10.9 ,0.3  +- 3.0 ,269.0  +- 2465.9 ,100.0  +- 0.1 ,1.2  +- 10.8 ,0.2  +- 2.3 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.4  +- 14.6 ,0.3  +- 3.0 ,0.5  +- 4.7 ,43.1  +- 10.4 ,0.2  +- 2.3 ,59.4  +- 10.7 ,0.2  +- 2.3 ,28.1  +- 11.7 ,4168 +- 3651,6850 +- 4499
tl_sazonov_max,1553.6  +- 13019.5 ,1.2  +- 10.9 ,1.3  +- 10.8 ,1436.9  +- 11955.7 ,1.2  +- 10.1 ,1.4  +- 10.7 ,1.6  +- 11.4 ,2.4  +- 15.3 ,88579.8  +- 17712.3 ,1.3  +- 10.9 ,2.4  +- 15.3 ,1.3  +- 10.9 ,1532.1  +- 12824.0 ,98.8  +- 10.9 ,2.0  +- 13.1 ,1.2  +- 10.0 ,100.0  +- 0.0 ,2.2  +- 14.3 ,42.6  +- 14.0 ,1.4  +- 11.0 ,1.4  +- 10.7 ,44.0  +- 11.1 ,1.3  +- 10.8 ,59.1  +- 11.4 ,1.3  +- 10.8 ,29.0  +- 13.3 ,4027 +- 3403,7033 +- 4834
resc_tl_sazonov_max,1506.0  +- 12744.8 ,1.2  +- 10.9 ,1.2  +- 10.6 ,1389.3  +- 11679.8 ,1.2  +- 9.9 ,1.4  +- 10.6 ,1.6  +- 11.2 ,2.4  +- 15.3 ,88627.4  +- 17567.9 ,1.3  +- 10.6 ,2.4  +- 15.3 ,1.3  +- 10.6 ,1484.5  +- 12549.2 ,98.8  +- 10.9 ,2.2  +- 13.9 ,1.1  +- 9.7 ,100.0  +- 0.0 ,2.4  +- 15.3 ,42.6  +- 14.1 ,1.3  +- 10.7 ,1.4  +- 10.5 ,44.0  +- 11.0 ,1.2  +- 10.6 ,59.1  +- 11.5 ,1.2  +- 10.6 ,29.0  +- 13.2 ,4036 +- 3394,7039 +- 4856
sazonov2,57553.6  +- 14089.7 ,2315.5  +- 712.6 ,56.9  +- 14.4 ,78189.3  +- 25285.5 ,83.3  +- 23.2 ,74.6  +- 11.5 ,62.8  +- 11.7 ,65.5  +- 12.7 ,35984.5  +- 16600.3 ,68.3  +- 14.7 ,95.8  +- 7.8 ,60.9  +- 15.1 ,54127.4  +- 13782.4 ,82.7  +- 13.1 ,84.5  +- 10.5 ,62.4  +- 19.5 ,90.1  +- 18.3 ,98.5  +- 2.2 ,75.4  +- 23.1 ,60.4  +- 13.4 ,86.2  +- 19.4 ,74.9  +- 9.5 ,46.4  +- 12.2 ,72.9  +- 12.6 ,46.4  +- 12.2 ,83.9  +- 18.5 ,2123 +- 2500,3846 +- 6722
tl_sazonov2,76098.8  +- 16872.7 ,320.2  +- 211.0 ,75.0  +- 16.6 ,58745.2  +- 38683.7 ,61.5  +- 40.7 ,80.9  +- 10.8 ,82.2  +- 12.5 ,89.8  +- 11.4 ,19503.6  +- 16054.0 ,84.4  +- 14.8 ,79.2  +- 36.3 ,79.1  +- 16.5 ,70608.3  +- 16444.8 ,69.2  +- 17.6 ,79.2  +- 10.4 ,47.4  +- 31.3 ,87.7  +- 20.1 ,94.2  +- 15.8 ,66.2  +- 26.3 ,79.2  +- 14.7 ,64.5  +- 39.3 ,78.7  +- 10.1 ,61.3  +- 14.6 ,72.1  +- 15.3 ,61.3  +- 14.6 ,69.2  +- 29.2 ,2256 +- 2627,11105 +- 12583
resc_sazonov2,24054.8  +- 14074.8 ,1234.5  +- 640.1 ,24.9  +- 15.1 ,26344.0  +- 26783.5 ,30.7  +- 30.7 ,43.8  +- 21.8 ,27.0  +- 15.4 ,66.0  +- 29.1 ,66598.8  +- 21156.1 ,31.3  +- 18.7 ,92.9  +- 25.9 ,26.9  +- 16.6 ,23513.1  +- 14240.0 ,96.5  +- 6.3 ,91.3  +- 14.3 ,21.5  +- 21.8 ,100.0  +- 0.0 ,92.6  +- 25.9 ,53.2  +- 21.6 ,26.2  +- 15.5 ,39.4  +- 32.9 ,59.5  +- 12.5 ,19.6  +- 11.7 ,66.5  +- 11.8 ,19.6  +- 11.7 ,49.4  +- 24.7 ,5295 +- 5890,12545 +- 8444
resc_tl_sazonov2,60175.0  +- 19410.0 ,302.4  +- 219.5 ,60.9  +- 20.5 ,50246.4  +- 32994.5 ,56.6  +- 36.4 ,74.9  +- 16.5 ,67.3  +- 18.0 ,87.9  +- 14.8 ,32814.3  +- 22070.7 ,70.8  +- 21.1 ,95.3  +- 16.3 ,64.7  +- 22.1 ,57297.6  +- 19311.7 ,80.9  +- 15.9 ,84.0  +- 11.8 ,41.1  +- 27.4 ,95.6  +- 12.2 ,99.3  +- 1.9 ,64.1  +- 25.1 ,64.4  +- 19.8 ,63.4  +- 34.3 ,76.0  +- 12.4 ,48.7  +- 16.9 ,73.6  +- 14.5 ,48.7  +- 16.9 ,66.1  +- 28.4 ,2975 +- 3518,10107 +- 11040
tl_resc_sazonov2,80789.3  +- 16673.7 ,225.0  +- 186.2 ,78.5  +- 15.5 ,62839.3  +- 38884.4 ,64.3  +- 39.9 ,80.0  +- 10.3 ,84.7  +- 11.5 ,92.6  +- 9.1 ,16622.6  +- 14380.7 ,86.0  +- 13.6 ,78.9  +- 36.1 ,82.1  +- 15.0 ,73489.3  +- 16097.0 ,62.8  +- 17.9 ,76.0  +- 10.6 ,50.5  +- 31.0 ,84.9  +- 20.1 ,91.4  +- 17.6 ,65.9  +- 25.5 ,82.4  +- 13.4 ,66.8  +- 38.4 ,76.9  +- 9.9 ,64.9  +- 14.2 ,68.3  +- 15.8 ,64.9  +- 14.2 ,70.7  +- 28.0 ,2359 +- 2561,10149 +- 11788
sazonov2_max,264.3  +- 2422.2 ,1.2  +- 10.9 ,0.2  +- 2.2 ,264.3  +- 2422.2 ,0.3  +- 3.0 ,0.5  +- 4.9 ,0.3  +- 2.9 ,1.2  +- 10.9 ,89847.6  +- 15501.4 ,0.3  +- 3.2 ,1.2  +- 10.9 ,0.3  +- 3.0 ,264.3  +- 2422.2 ,100.0  +- 0.1 ,1.2  +- 10.8 ,0.2  +- 2.2 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.4  +- 14.6 ,0.3  +- 2.9 ,0.5  +- 4.6 ,43.1  +- 10.4 ,0.2  +- 2.2 ,59.4  +- 10.7 ,0.2  +- 2.2 ,28.1  +- 11.7 ,4170 +- 3655,6850 +- 4499
tl_sazonov2_max,1275.0  +- 11685.6 ,1.2  +- 10.9 ,1.1  +- 9.8 ,1275.0  +- 11685.6 ,1.1  +- 9.9 ,1.1  +- 10.1 ,1.1  +- 9.9 ,1.2  +- 10.9 ,88836.9  +- 17160.0 ,1.1  +- 9.9 ,1.2  +- 10.9 ,1.1  +- 9.9 ,1275.0  +- 11685.6 ,99.2  +- 7.5 ,1.1  +- 10.4 ,1.1  +- 9.7 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.5  +- 14.1 ,1.1  +- 9.9 ,1.1  +- 10.4 ,43.9  +- 10.8 ,1.1  +- 9.7 ,59.4  +- 10.2 ,1.1  +- 9.7 ,28.9  +- 13.1 ,4027 +- 3403,6903 +- 4443
resc_tl_sazonov2_max,1227.4  +- 11249.1 ,1.2  +- 10.9 ,1.0  +- 9.5 ,1227.4  +- 11249.1 ,1.0  +- 9.5 ,1.1  +- 9.9 ,1.0  +- 9.5 ,1.2  +- 10.9 ,88884.5  +- 16945.6 ,1.0  +- 9.5 ,1.2  +- 10.9 ,1.0  +- 9.5 ,1227.4  +- 11249.1 ,99.2  +- 7.4 ,1.1  +- 10.4 ,1.0  +- 9.4 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.5  +- 14.2 ,1.0  +- 9.5 ,1.1  +- 10.2 ,43.8  +- 10.6 ,1.0  +- 9.4 ,59.4  +- 10.4 ,1.0  +- 9.4 ,28.9  +- 13.0 ,4036 +- 3394,6909 +- 4438
cole,97410.7  +- 14768.5 ,1582.1  +- 1022.7 ,88.5  +- 7.9 ,104397.6  +- 20730.5 ,96.9  +- 11.3 ,81.8  +- 8.0 ,93.9  +- 3.4 ,87.7  +- 7.1 ,6926.2  +- 5537.1 ,97.0  +- 3.3 ,83.8  +- 15.7 ,92.6  +- 5.5 ,83185.7  +- 13507.2 ,48.5  +- 16.5 ,71.5  +- 11.4 ,82.9  +- 12.1 ,57.7  +- 29.1 ,93.0  +- 7.6 ,62.8  +- 25.5 ,92.0  +- 5.1 ,89.3  +- 12.6 ,76.1  +- 9.5 ,77.6  +- 8.3 ,61.8  +- 15.8 ,77.6  +- 8.3 ,84.6  +- 12.7 ,2716 +- 3060,3347 +- 4181
tl_cole,106016.7  +- 15390.2 ,36.9  +- 61.7 ,94.4  +- 7.5 ,98100.0  +- 30776.4 ,89.4  +- 27.7 ,79.7  +- 8.4 ,98.7  +- 1.5 ,95.7  +- 7.2 ,1751.2  +- 3726.3 ,99.3  +- 1.6 ,78.2  +- 24.6 ,98.2  +- 3.5 ,88360.7  +- 14140.1 ,35.2  +- 18.1 ,67.3  +- 11.4 ,77.9  +- 22.4 ,54.2  +- 27.5 ,90.1  +- 13.7 ,58.6  +- 25.6 ,97.7  +- 3.3 ,82.2  +- 25.3 ,71.9  +- 10.6 ,84.5  +- 8.3 ,49.1  +- 20.4 ,84.5  +- 8.3 ,79.0  +- 19.7 ,3188 +- 3321,5327 +- 7717
resc_cole,81982.1  +- 15039.1 ,1404.8  +- 859.4 ,78.4  +- 11.4 ,83182.1  +- 28830.9 ,84.1  +- 28.1 ,84.1  +- 7.6 ,85.1  +- 7.7 ,85.7  +- 10.4 ,14623.8  +- 9966.6 ,90.6  +- 6.9 ,87.4  +- 24.0 ,84.0  +- 10.1 ,75488.1  +- 14443.5 ,68.4  +- 16.7 ,79.5  +- 11.5 ,66.2  +- 21.2 ,82.6  +- 22.2 ,97.2  +- 4.3 ,73.2  +- 24.5 ,82.8  +- 9.3 ,83.9  +- 26.0 ,81.1  +- 8.5 ,65.4  +- 10.6 ,74.2  +- 13.4 ,65.4  +- 10.6 ,82.8  +- 20.5 ,2204 +- 2626,4764 +- 8127
resc_tl_cole,97958.3  +- 15327.3 ,38.1  +- 63.8 ,91.0  +- 9.2 ,89547.6  +- 32289.0 ,86.2  +- 29.7 ,82.0  +- 8.3 ,96.5  +- 3.7 ,95.9  +- 7.1 ,4165.5  +- 5632.8 ,97.5  +- 3.5 ,82.0  +- 25.3 ,95.5  +- 5.6 ,85946.4  +- 14319.3 ,47.6  +- 19.4 ,71.6  +- 11.7 ,71.5  +- 24.2 ,67.6  +- 28.3 ,95.3  +- 5.4 ,66.2  +- 26.5 ,95.0  +- 5.2 ,82.1  +- 27.3 ,76.1  +- 10.3 ,78.1  +- 9.5 ,60.6  +- 19.5 ,78.1  +- 9.5 ,80.7  +- 20.7 ,2797 +- 2818,5319 +- 8993
tl_resc_cole,108254.8  +- 15516.6 ,20.2  +- 46.0 ,94.9  +- 7.0 ,101795.2  +- 26634.1 ,92.3  +- 22.7 ,78.4  +- 8.4 ,98.6  +- 1.8 ,96.7  +- 5.8 ,1597.6  +- 3347.5 ,99.0  +- 1.7 ,79.4  +- 21.2 ,98.3  +- 3.1 ,88514.3  +- 14388.6 ,30.5  +- 17.5 ,65.7  +- 11.2 ,81.0  +- 18.7 ,51.3  +- 26.1 ,89.2  +- 14.1 ,57.3  +- 24.2 ,97.8  +- 3.1 ,84.4  +- 21.1 ,69.7  +- 10.5 ,86.3  +- 8.0 ,43.6  +- 20.5 ,86.3  +- 8.0 ,80.3  +- 16.6 ,3167 +- 3227,4771 +- 6453
cole_max,995.2  +- 9121.5 ,0.0  +- 0.0 ,0.7  +- 6.6 ,995.2  +- 9121.5 ,1.0  +- 9.0 ,1.0  +- 8.8 ,0.8  +- 7.1 ,1.2  +- 10.9 ,89117.9  +- 17053.9 ,1.0  +- 9.0 ,1.2  +- 10.9 ,1.0  +- 9.0 ,994.0  +- 9110.6 ,99.7  +- 3.0 ,0.9  +- 8.6 ,0.7  +- 6.3 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.7  +- 15.2 ,0.8  +- 7.1 ,1.1  +- 9.9 ,43.3  +- 11.2 ,0.7  +- 6.3 ,59.4  +- 10.9 ,0.7  +- 6.3 ,28.5  +- 13.3 ,3972 +- 3353,6837 +- 4521
tl_cole_max,2670.2  +- 17371.3 ,0.0  +- 0.0 ,2.3  +- 15.0 ,2485.7  +- 16246.0 ,2.2  +- 14.4 ,1.9  +- 12.2 ,2.4  +- 15.4 ,2.4  +- 15.3 ,87713.1  +- 20402.3 ,2.4  +- 15.3 ,2.2  +- 14.1 ,2.4  +- 15.3 ,2398.8  +- 15484.5 ,98.4  +- 11.0 ,1.6  +- 10.7 ,2.0  +- 12.7 ,99.0  +- 7.9 ,2.3  +- 15.1 ,42.9  +- 15.1 ,2.4  +- 15.4 ,2.2  +- 14.1 ,43.5  +- 11.5 ,2.1  +- 13.7 ,58.9  +- 12.0 ,2.1  +- 13.7 ,29.5  +- 14.7 ,3940 +- 3403,6894 +- 4452
resc_tl_cole_max,2622.6  +- 17076.5 ,0.0  +- 0.0 ,2.3  +- 14.8 ,2457.1  +- 16097.5 ,2.2  +- 14.3 ,1.9  +- 12.4 ,2.4  +- 15.4 ,2.4  +- 15.3 ,87716.7  +- 20386.8 ,2.4  +- 15.3 ,2.2  +- 14.3 ,2.4  +- 15.3 ,2395.2  +- 15463.1 ,98.5  +- 10.5 ,1.6  +- 10.9 ,1.9  +- 12.6 ,99.1  +- 7.9 ,2.4  +- 15.2 ,43.0  +- 15.2 ,2.4  +- 15.4 ,2.2  +- 14.2 ,43.6  +- 11.6 ,2.1  +- 13.4 ,59.0  +- 11.9 ,2.1  +- 13.4 ,29.5  +- 14.8 ,3933 +- 3410,6894 +- 4452
time_based,94929.8  +- 16051.6 ,8.3  +- 27.8 ,89.8  +- 10.1 ,87046.4  +- 23929.7 ,87.8  +- 21.3 ,81.3  +- 9.1 ,94.6  +- 5.5 ,99.7  +- 1.4 ,5820.2  +- 7859.7 ,94.9  +- 7.1 ,89.5  +- 16.8 ,93.6  +- 8.1 ,84291.7  +- 15371.9 ,49.3  +- 21.2 ,71.9  +- 12.0 ,69.6  +- 17.8 ,80.4  +- 19.9 ,93.9  +- 8.5 ,73.6  +- 21.5 ,93.7  +- 6.5 ,87.2  +- 19.4 ,75.7  +- 11.1 ,75.8  +- 11.1 ,60.7  +- 20.6 ,75.8  +- 11.1 ,85.1  +- 15.6 ,1961 +- 2399,4046 +- 6020
tl_time_based,96128.6  +- 15970.0 ,15.5  +- 45.2 ,89.6  +- 9.8 ,74075.0  +- 38925.4 ,73.5  +- 38.0 ,80.0  +- 9.1 ,93.9  +- 5.5 ,99.3  +- 3.8 ,6347.6  +- 7683.9 ,94.1  +- 7.1 ,76.4  +- 34.0 ,93.0  +- 8.0 ,83764.3  +- 15568.8 ,46.0  +- 20.8 ,70.4  +- 11.9 ,59.1  +- 30.6 ,78.2  +- 21.4 ,91.0  +- 15.7 ,65.7  +- 24.4 ,93.2  +- 6.4 ,72.4  +- 36.7 ,73.8  +- 11.0 ,76.8  +- 10.9 ,57.3  +- 20.7 ,76.8  +- 10.9 ,74.3  +- 26.9 ,2227 +- 2452,8673 +- 11588
resc_time_based,90144.0  +- 15983.3 ,19.0  +- 42.4 ,87.1  +- 10.7 ,82846.4  +- 24852.4 ,84.6  +- 22.4 ,81.2  +- 9.2 ,91.7  +- 6.5 ,99.7  +- 1.6 ,8359.5  +- 8510.1 ,92.1  +- 7.8 ,90.5  +- 17.1 ,90.8  +- 8.7 ,81752.4  +- 15564.1 ,54.8  +- 20.2 ,73.5  +- 12.3 ,66.2  +- 18.4 ,83.8  +- 19.4 ,95.2  +- 8.0 ,73.4  +- 21.6 ,90.9  +- 7.6 ,85.7  +- 20.7 ,76.4  +- 10.7 ,72.0  +- 11.2 ,64.3  +- 18.3 ,72.0  +- 11.2 ,83.6  +- 17.1 ,2471 +- 2316,4064 +- 6547
resc_tl_time_based,91515.5  +- 16232.8 ,11.9  +- 39.3 ,86.9  +- 10.5 ,83297.6  +- 24891.7 ,83.9  +- 22.1 ,80.0  +- 9.4 ,91.3  +- 6.7 ,99.8  +- 1.3 ,8831.0  +- 8507.7 ,91.5  +- 7.9 ,89.4  +- 17.1 ,90.2  +- 8.8 ,81281.0  +- 15826.1 ,51.4  +- 20.7 ,71.9  +- 12.3 ,66.5  +- 18.3 ,81.1  +- 19.9 ,92.8  +- 12.6 ,71.0  +- 21.1 ,90.5  +- 7.4 ,84.8  +- 20.3 ,74.6  +- 11.0 ,73.1  +- 11.3 ,60.9  +- 19.4 ,73.1  +- 11.3 ,82.3  +- 16.8 ,2661 +- 2347,4324 +- 6330
tl_resc_time_based,97260.7  +- 15869.8 ,16.7  +- 46.1 ,89.3  +- 9.5 ,75247.6  +- 38481.8 ,73.5  +- 37.8 ,78.8  +- 9.2 ,93.1  +- 5.5 ,98.7  +- 4.7 ,6876.2  +- 7509.0 ,93.3  +- 7.2 ,74.2  +- 34.6 ,92.3  +- 7.9 ,83235.7  +- 15788.0 ,42.9  +- 20.4 ,69.0  +- 11.9 ,60.3  +- 30.3 ,73.7  +- 23.1 ,89.3  +- 14.3 ,62.8  +- 24.0 ,92.6  +- 6.2 ,71.8  +- 36.2 ,72.1  +- 11.0 ,77.7  +- 10.6 ,54.1  +- 20.7 ,77.7  +- 10.6 ,72.9  +- 26.9 ,2418 +- 2407,9019 +- 11502
time_based_max,1672.6  +- 15329.8 ,0.0  +- 0.0 ,1.1  +- 10.2 ,1556.0  +- 14260.5 ,1.1  +- 10.5 ,1.1  +- 9.7 ,1.2  +- 10.7 ,1.2  +- 10.9 ,88673.8  +- 17735.1 ,1.2  +- 10.9 ,1.1  +- 9.7 ,1.2  +- 10.9 ,1438.1  +- 13180.4 ,99.1  +- 8.1 ,1.0  +- 8.8 ,1.0  +- 9.5 ,99.4  +- 5.3 ,1.2  +- 10.7 ,42.6  +- 14.7 ,1.2  +- 10.8 ,1.1  +- 10.1 ,43.6  +- 11.1 ,1.1  +- 10.2 ,59.3  +- 10.8 ,1.1  +- 10.2 ,28.7  +- 13.3 ,3990 +- 3390,6869 +- 4483
tl_time_based_max,2970.2  +- 19135.4 ,0.0  +- 0.0 ,2.3  +- 14.5 ,2853.6  +- 18412.2 ,2.1  +- 13.8 ,1.5  +- 9.7 ,2.3  +- 14.8 ,2.4  +- 15.3 ,88040.5  +- 19485.3 ,2.2  +- 14.1 ,1.7  +- 11.1 ,2.1  +- 13.8 ,2071.4  +- 13450.1 ,98.0  +- 12.7 ,1.1  +- 7.4 ,2.0  +- 12.8 ,98.3  +- 10.9 ,2.2  +- 14.1 ,42.1  +- 14.7 ,2.3  +- 14.9 ,1.9  +- 12.3 ,42.8  +- 10.4 ,2.1  +- 13.3 ,58.2  +- 11.7 ,2.1  +- 13.3 ,28.8  +- 13.3 ,4099 +- 3387,6778 +- 4460
resc_tl_time_based_max,2922.6  +- 18829.8 ,0.0  +- 0.0 ,2.2  +- 14.4 ,2806.0  +- 18109.8 ,2.1  +- 13.6 ,1.5  +- 9.8 ,2.3  +- 14.8 ,2.4  +- 15.3 ,88069.0  +- 19387.5 ,2.2  +- 14.1 ,1.7  +- 11.1 ,2.1  +- 13.6 ,2042.9  +- 13292.6 ,98.1  +- 12.3 ,1.2  +- 7.5 ,1.9  +- 12.6 ,98.4  +- 10.7 ,2.2  +- 14.2 ,42.1  +- 14.8 ,2.3  +- 14.8 ,1.9  +- 12.2 ,42.8  +- 10.5 ,2.0  +- 13.1 ,58.3  +- 11.5 ,2.0  +- 13.1 ,28.7  +- 13.3 ,4107 +- 3393,6772 +- 4466
sadeh,102564.3  +- 14857.9 ,444.0  +- 374.3 ,91.8  +- 7.5 ,107210.7  +- 20052.1 ,97.0  +- 11.3 ,80.7  +- 8.1 ,96.6  +- 2.4 ,90.5  +- 6.1 ,4123.8  +- 4284.6 ,98.7  +- 2.2 ,81.5  +- 15.4 ,95.6  +- 4.1 ,85988.1  +- 13799.6 ,40.9  +- 16.4 ,69.1  +- 11.2 ,85.1  +- 11.3 ,50.1  +- 28.9 ,91.8  +- 7.8 ,56.5  +- 26.1 ,95.1  +- 4.2 ,88.0  +- 12.5 ,73.9  +- 9.8 ,81.7  +- 7.9 ,55.4  +- 17.0 ,81.7  +- 7.9 ,82.5  +- 12.7 ,3387 +- 3381,3460 +- 4147
