,TotalSleepInCol,WokeCounts,SEMarkers,TotalSleepInColBlock,RecallBlock,F1,SEOnlyREST,SESelfBlock,WASO,Recall,PrecisionBlock,SEGTBlock,TotalSleepTime,Specificity,Precision,PercentSleepBlock,SpecificityBlock,SESelfBlock5Min,~F1Block,SEInterval,F1Block,Accuracy,SEWholeDF,~F1,PercentSleep,AccuracyBlock,DeltaStartBlock,DeltaEndBlock
resc_tl_SGD_log,72356.0  +- 18778.7 ,210.7  +- 186.3 ,71.8  +- 18.0 ,60476.2  +- 33980.5 ,65.8  +- 36.5 ,81.9  +- 12.0 ,79.1  +- 14.6 ,89.8  +- 13.7 ,21445.2  +- 17436.5 ,83.4  +- 16.0 ,90.7  +- 24.2 ,76.8  +- 18.1 ,68666.7  +- 18003.8 ,75.4  +- 18.1 ,83.1  +- 10.8 ,49.1  +- 27.6 ,93.3  +- 15.3 ,99.4  +- 1.8 ,68.6  +- 25.5 ,76.2  +- 16.7 ,70.4  +- 34.3 ,80.6  +- 10.4 ,58.0  +- 15.4 ,75.5  +- 15.2 ,58.0  +- 15.4 ,72.3  +- 27.5 ,2321 +- 2758,8839 +- 11471
tl_resc_SGD_log,89292.9  +- 17416.2 ,151.2  +- 161.7 ,85.1  +- 13.3 ,68929.8  +- 40509.4 ,68.4  +- 41.3 ,82.0  +- 8.6 ,91.2  +- 9.2 ,95.0  +- 6.6 ,10028.6  +- 10996.0 ,92.7  +- 9.8 ,74.9  +- 37.2 ,89.2  +- 11.7 ,80083.3  +- 15648.6 ,56.5  +- 18.2 ,74.5  +- 10.2 ,55.0  +- 31.7 ,78.9  +- 22.1 ,91.5  +- 17.4 ,65.0  +- 26.4 ,89.4  +- 10.6 ,68.3  +- 39.2 ,77.7  +- 9.4 ,71.3  +- 12.6 ,66.3  +- 17.0 ,71.3  +- 12.6 ,71.5  +- 28.9 ,2418 +- 2812,10010 +- 12120
SGD_log_max,1104.8  +- 10125.3 ,0.0  +- 0.0 ,1.2  +- 10.6 ,1104.8  +- 10125.3 ,1.2  +- 10.9 ,1.1  +- 10.2 ,1.2  +- 10.7 ,1.2  +- 10.9 ,89008.3  +- 18067.6 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1103.6  +- 10114.4 ,99.5  +- 4.1 ,1.0  +- 9.5 ,1.0  +- 9.1 ,100.0  +- 0.1 ,1.2  +- 10.9 ,43.1  +- 15.8 ,1.2  +- 10.7 ,1.2  +- 10.9 ,43.6  +- 11.5 ,1.0  +- 9.1 ,59.7  +- 10.8 ,1.0  +- 9.1 ,28.8  +- 13.9 ,4024 +- 3406,6807 +- 4537
tl_SGD_log_max,1548.8  +- 13015.8 ,1.2  +- 10.9 ,1.3  +- 10.8 ,1432.1  +- 11951.7 ,1.2  +- 10.1 ,1.4  +- 10.7 ,1.6  +- 11.4 ,2.4  +- 15.3 ,88584.5  +- 17711.5 ,1.3  +- 10.9 ,2.4  +- 15.3 ,1.3  +- 10.9 ,1527.4  +- 12820.3 ,98.8  +- 10.9 ,2.1  +- 13.3 ,1.2  +- 10.0 ,100.0  +- 0.0 ,2.3  +- 14.5 ,42.6  +- 14.0 ,1.4  +- 11.0 ,1.4  +- 10.7 ,44.0  +- 11.1 ,1.3  +- 10.8 ,59.1  +- 11.4 ,1.3  +- 10.8 ,29.0  +- 13.3 ,4027 +- 3403,7035 +- 4839
resc_tl_SGD_log_max,1501.2  +- 12741.7 ,1.2  +- 10.9 ,1.2  +- 10.6 ,1384.5  +- 11676.4 ,1.2  +- 9.9 ,1.4  +- 10.6 ,1.5  +- 11.1 ,2.4  +- 15.3 ,88632.1  +- 17567.5 ,1.3  +- 10.6 ,2.4  +- 15.3 ,1.3  +- 10.6 ,1479.8  +- 12546.0 ,98.8  +- 10.9 ,2.2  +- 14.2 ,1.1  +- 9.7 ,100.0  +- 0.0 ,2.4  +- 15.3 ,42.6  +- 14.1 ,1.3  +- 10.7 ,1.3  +- 10.5 ,44.0  +- 11.0 ,1.2  +- 10.6 ,59.2  +- 11.5 ,1.2  +- 10.6 ,29.0  +- 13.2 ,4036 +- 3394,7040 +- 4862
SGD_hinge,78572.6  +- 16869.7 ,1025.0  +- 651.0 ,76.7  +- 15.0 ,75186.9  +- 33956.3 ,77.9  +- 34.3 ,85.1  +- 8.7 ,84.6  +- 10.5 ,85.0  +- 11.8 ,16803.6  +- 13576.8 ,89.9  +- 11.2 ,86.9  +- 27.5 ,81.8  +- 14.1 ,73308.3  +- 15789.6 ,72.9  +- 17.1 ,82.3  +- 10.8 ,60.3  +- 26.5 ,86.8  +- 18.9 ,98.6  +- 2.2 ,73.1  +- 24.9 ,81.4  +- 12.7 ,78.9  +- 32.3 ,82.9  +- 9.2 ,62.9  +- 13.2 ,77.2  +- 13.3 ,62.9  +- 13.2 ,80.0  +- 24.3 ,1945 +- 2503,6512 +- 10221
tl_SGD_hinge,85529.8  +- 17501.0 ,241.7  +- 192.1 ,82.6  +- 14.1 ,65178.6  +- 40923.6 ,65.5  +- 42.2 ,83.5  +- 8.5 ,89.7  +- 9.5 ,92.2  +- 8.6 ,11870.2  +- 11731.7 ,92.2  +- 10.2 ,76.3  +- 36.6 ,87.2  +- 12.5 ,78241.7  +- 15732.4 ,62.7  +- 18.6 ,77.5  +- 10.2 ,52.2  +- 32.3 ,80.9  +- 23.0 ,95.2  +- 12.3 ,64.9  +- 27.1 ,87.1  +- 11.6 ,66.0  +- 39.9 ,80.0  +- 9.3 ,68.4  +- 13.1 ,70.9  +- 16.6 ,68.4  +- 13.1 ,70.0  +- 29.5 ,2233 +- 2792,10932 +- 12458
resc_SGD_hinge,60232.1  +- 19258.8 ,709.5  +- 375.7 ,60.7  +- 19.7 ,55029.8  +- 33022.9 ,61.1  +- 35.7 ,77.6  +- 14.7 ,67.0  +- 16.6 ,83.4  +- 16.4 ,32082.1  +- 20397.7 ,72.9  +- 19.1 ,94.5  +- 19.5 ,65.1  +- 20.5 ,58029.8  +- 19201.7 ,84.0  +- 14.7 ,87.2  +- 10.9 ,44.8  +- 27.0 ,96.0  +- 12.7 ,99.7  +- 0.8 ,66.3  +- 24.6 ,64.3  +- 18.6 ,67.5  +- 33.7 ,78.3  +- 11.6 ,48.4  +- 16.0 ,76.1  +- 12.9 ,48.4  +- 16.0 ,69.9  +- 26.6 ,2575 +- 2851,9228 +- 10555
resc_tl_SGD_hinge,71127.4  +- 19174.7 ,235.7  +- 174.7 ,70.7  +- 18.0 ,61056.0  +- 34098.8 ,66.0  +- 36.3 ,81.6  +- 11.9 ,78.0  +- 14.4 ,87.7  +- 14.1 ,22644.0  +- 17382.5 ,82.3  +- 15.9 ,89.3  +- 26.1 ,75.3  +- 18.0 ,67467.9  +- 18393.9 ,76.2  +- 18.3 ,83.5  +- 10.7 ,49.6  +- 27.5 ,92.5  +- 15.7 ,99.5  +- 1.0 ,67.8  +- 25.4 ,74.8  +- 16.8 ,70.4  +- 34.5 ,80.4  +- 10.4 ,57.0  +- 15.6 ,75.5  +- 15.4 ,57.0  +- 15.6 ,72.4  +- 26.9 ,2344 +- 2789,8843 +- 11493
tl_resc_SGD_hinge,89866.7  +- 17502.1 ,150.0  +- 157.2 ,85.5  +- 13.0 ,70545.2  +- 41019.9 ,69.4  +- 40.9 ,82.1  +- 8.4 ,91.5  +- 8.6 ,94.9  +- 6.5 ,9577.4  +- 10130.7 ,93.0  +- 9.4 ,76.8  +- 35.3 ,89.6  +- 10.9 ,80534.5  +- 15520.8 ,56.1  +- 18.5 ,74.4  +- 10.3 ,56.2  +- 31.9 ,77.6  +- 23.2 ,90.9  +- 17.5 ,64.7  +- 25.8 ,89.6  +- 10.3 ,69.0  +- 38.7 ,77.7  +- 9.3 ,71.8  +- 12.6 ,66.1  +- 17.1 ,71.8  +- 12.6 ,72.1  +- 28.0 ,2319 +- 2679,9706 +- 11662
SGD_hinge_max,1103.6  +- 10114.4 ,0.0  +- 0.0 ,1.2  +- 10.6 ,1103.6  +- 10114.4 ,1.2  +- 10.9 ,1.1  +- 10.2 ,1.2  +- 10.7 ,1.2  +- 10.9 ,89008.3  +- 18067.6 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1103.6  +- 10114.4 ,99.5  +- 4.1 ,1.0  +- 9.5 ,1.0  +- 9.0 ,100.0  +- 0.0 ,1.2  +- 10.9 ,43.1  +- 15.8 ,1.2  +- 10.7 ,1.2  +- 10.9 ,43.6  +- 11.5 ,1.0  +- 9.0 ,59.7  +- 10.8 ,1.0  +- 9.0 ,28.8  +- 13.9 ,4024 +- 3406,6806 +- 4538
tl_SGD_hinge_max,1550.0  +- 13016.7 ,1.2  +- 10.9 ,1.3  +- 10.8 ,1433.3  +- 11952.7 ,1.2  +- 10.1 ,1.4  +- 10.7 ,1.6  +- 11.4 ,2.4  +- 15.3 ,88583.3  +- 17711.7 ,1.3  +- 10.9 ,2.4  +- 15.3 ,1.3  +- 10.9 ,1528.6  +- 12821.2 ,98.8  +- 10.9 ,2.0  +- 13.2 ,1.2  +- 10.0 ,100.0  +- 0.0 ,2.2  +- 14.5 ,42.6  +- 14.0 ,1.4  +- 11.0 ,1.4  +- 10.7 ,44.0  +- 11.1 ,1.3  +- 10.8 ,59.1  +- 11.4 ,1.3  +- 10.8 ,29.0  +- 13.3 ,4027 +- 3403,7034 +- 4838
resc_tl_SGD_hinge_max,1502.4  +- 12742.5 ,1.2  +- 10.9 ,1.2  +- 10.6 ,1385.7  +- 11677.2 ,1.2  +- 9.9 ,1.4  +- 10.6 ,1.5  +- 11.2 ,2.4  +- 15.3 ,88631.0  +- 17567.6 ,1.3  +- 10.6 ,2.4  +- 15.3 ,1.3  +- 10.6 ,1481.0  +- 12546.8 ,98.8  +- 10.9 ,2.2  +- 14.1 ,1.1  +- 9.7 ,100.0  +- 0.0 ,2.4  +- 15.3 ,42.6  +- 14.1 ,1.3  +- 10.7 ,1.3  +- 10.5 ,44.0  +- 11.0 ,1.2  +- 10.6 ,59.2  +- 11.5 ,1.2  +- 10.6 ,29.0  +- 13.2 ,4036 +- 3394,7040 +- 4860
SGD_huber,78461.9  +- 16385.5 ,1321.4  +- 852.8 ,75.8  +- 15.3 ,76969.0  +- 34714.0 ,78.2  +- 33.9 ,83.6  +- 9.2 ,83.4  +- 11.0 ,83.4  +- 12.3 ,17991.7  +- 14272.5 ,88.4  +- 12.2 ,86.2  +- 25.5 ,80.5  +- 14.7 ,72120.2  +- 15957.0 ,70.9  +- 16.1 ,80.7  +- 10.4 ,61.8  +- 27.1 ,82.4  +- 21.1 ,96.9  +- 4.3 ,70.2  +- 23.4 ,80.2  +- 13.3 ,78.3  +- 31.2 ,81.3  +- 9.3 ,62.9  +- 13.2 ,75.2  +- 13.1 ,62.9  +- 13.2 ,79.0  +- 22.6 ,1705 +- 2359,7120 +- 9716
tl_SGD_huber,85940.5  +- 17045.3 ,240.5  +- 178.4 ,82.4  +- 14.3 ,59794.0  +- 43346.4 ,60.0  +- 44.6 ,82.9  +- 8.7 ,89.5  +- 9.8 ,91.2  +- 11.7 ,12258.3  +- 12073.2 ,91.9  +- 10.6 ,70.9  +- 40.6 ,86.7  +- 12.9 ,77853.6  +- 15930.1 ,61.1  +- 18.4 ,76.7  +- 10.2 ,48.2  +- 34.5 ,81.1  +- 24.1 ,94.9  +- 12.6 ,61.9  +- 27.8 ,86.7  +- 12.1 ,60.3  +- 42.4 ,79.3  +- 9.3 ,68.8  +- 13.2 ,69.6  +- 16.4 ,68.8  +- 13.2 ,66.1  +- 31.1 ,2427 +- 2990,12843 +- 13371
resc_SGD_huber,57490.5  +- 19041.6 ,747.6  +- 451.1 ,58.3  +- 20.3 ,56611.9  +- 32587.3 ,62.5  +- 34.8 ,75.5  +- 16.2 ,64.1  +- 17.6 ,83.6  +- 14.8 ,34753.6  +- 21374.4 ,69.8  +- 20.4 ,97.2  +- 12.7 ,62.3  +- 21.3 ,55358.3  +- 19244.2 ,84.9  +- 14.0 ,87.1  +- 11.5 ,45.7  +- 26.4 ,96.7  +- 12.3 ,99.6  +- 0.8 ,67.5  +- 24.4 ,61.5  +- 19.5 ,69.1  +- 32.8 ,76.9  +- 12.2 ,46.4  +- 16.2 ,75.3  +- 13.4 ,46.4  +- 16.2 ,71.1  +- 26.4 ,3206 +- 3767,7788 +- 9548
resc_tl_SGD_huber,70820.2  +- 18760.5 ,248.8  +- 182.7 ,70.5  +- 18.3 ,59911.9  +- 35385.0 ,65.1  +- 37.6 ,81.4  +- 12.0 ,77.8  +- 14.7 ,88.0  +- 13.6 ,22972.6  +- 17491.3 ,82.0  +- 16.2 ,89.4  +- 26.1 ,75.0  +- 18.3 ,67139.3  +- 18396.9 ,76.0  +- 18.3 ,83.5  +- 10.7 ,48.7  +- 28.6 ,92.8  +- 15.5 ,99.4  +- 1.2 ,68.2  +- 25.8 ,74.6  +- 17.0 ,69.2  +- 35.4 ,80.2  +- 10.5 ,56.9  +- 15.8 ,75.3  +- 15.4 ,56.9  +- 15.8 ,71.7  +- 28.1 ,2323 +- 2619,9201 +- 11851
tl_resc_SGD_huber,90386.9  +- 17216.8 ,152.4  +- 156.4 ,85.1  +- 13.2 ,62778.6  +- 43294.4 ,61.6  +- 44.0 ,81.2  +- 8.6 ,91.1  +- 9.0 ,94.0  +- 9.3 ,10138.1  +- 10653.7 ,92.5  +- 10.0 ,68.9  +- 40.8 ,89.0  +- 11.5 ,79973.8  +- 15766.6 ,53.9  +- 18.5 ,73.4  +- 10.2 ,50.4  +- 34.1 ,77.7  +- 23.6 ,89.0  +- 18.8 ,60.7  +- 26.9 ,89.0  +- 10.9 ,61.3  +- 41.9 ,76.5  +- 9.4 ,72.2  +- 12.7 ,64.1  +- 17.1 ,72.2  +- 12.7 ,66.2  +- 30.8 ,2540 +- 2883,12471 +- 12991
SGD_huber_max,1114.3  +- 10124.6 ,0.0  +- 0.0 ,1.2  +- 10.6 ,1104.8  +- 10125.3 ,1.2  +- 10.9 ,1.1  +- 10.2 ,1.2  +- 10.7 ,1.2  +- 10.9 ,89007.1  +- 18073.5 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1104.8  +- 10125.3 ,99.5  +- 4.2 ,1.0  +- 9.5 ,1.0  +- 9.1 ,100.0  +- 0.0 ,1.2  +- 10.9 ,43.1  +- 15.8 ,1.2  +- 10.7 ,1.2  +- 10.9 ,43.6  +- 11.5 ,1.0  +- 9.1 ,59.7  +- 10.8 ,1.0  +- 9.1 ,28.8  +- 14.0 ,4023 +- 3407,6806 +- 4538
tl_SGD_huber_max,1548.8  +- 13015.8 ,1.2  +- 10.9 ,1.3  +- 10.8 ,1432.1  +- 11951.7 ,1.2  +- 10.1 ,1.4  +- 10.7 ,1.6  +- 11.4 ,2.4  +- 15.3 ,88584.5  +- 17711.5 ,1.3  +- 10.9 ,2.4  +- 15.3 ,1.3  +- 10.9 ,1527.4  +- 12820.3 ,98.8  +- 10.9 ,2.1  +- 13.3 ,1.2  +- 10.0 ,100.0  +- 0.0 ,2.3  +- 14.5 ,42.6  +- 14.0 ,1.4  +- 11.0 ,1.4  +- 10.7 ,44.0  +- 11.1 ,1.3  +- 10.8 ,59.1  +- 11.4 ,1.3  +- 10.8 ,29.0  +- 13.3 ,4027 +- 3403,7035 +- 4839
resc_tl_SGD_huber_max,1501.2  +- 12741.7 ,1.2  +- 10.9 ,1.2  +- 10.6 ,1384.5  +- 11676.4 ,1.2  +- 9.9 ,1.4  +- 10.6 ,1.5  +- 11.1 ,2.4  +- 15.3 ,88632.1  +- 17567.5 ,1.3  +- 10.6 ,2.4  +- 15.3 ,1.3  +- 10.6 ,1479.8  +- 12546.0 ,98.8  +- 10.9 ,2.2  +- 14.2 ,1.1  +- 9.7 ,100.0  +- 0.0 ,2.4  +- 15.3 ,42.6  +- 14.1 ,1.3  +- 10.7 ,1.3  +- 10.5 ,44.0  +- 11.0 ,1.2  +- 10.6 ,59.2  +- 11.5 ,1.2  +- 10.6 ,29.0  +- 13.2 ,4036 +- 3394,7040 +- 4862
LSTM_20_raw,80261.9  +- 15136.1 ,1460.7  +- 906.1 ,78.1  +- 13.5 ,79775.0  +- 32409.0 ,81.1  +- 32.1 ,85.2  +- 8.0 ,86.0  +- 8.5 ,84.3  +- 11.8 ,15410.7  +- 11934.0 ,90.9  +- 9.0 ,87.4  +- 25.8 ,83.4  +- 12.1 ,74701.2  +- 14400.6 ,71.2  +- 16.8 ,81.2  +- 10.8 ,63.9  +- 24.7 ,85.2  +- 21.0 ,97.1  +- 6.1 ,74.3  +- 24.2 ,82.9  +- 10.9 ,81.4  +- 29.8 ,82.7  +- 8.8 ,64.3  +- 11.8 ,76.5  +- 13.7 ,64.3  +- 11.8 ,82.3  +- 21.4 ,1854 +- 2412,5588 +- 8865
tl_LSTM_20_raw,87996.4  +- 15514.6 ,206.0  +- 174.5 ,85.0  +- 12.2 ,68810.7  +- 39800.3 ,68.5  +- 41.4 ,84.4  +- 7.6 ,92.0  +- 6.8 ,92.2  +- 9.5 ,9647.6  +- 9569.1 ,94.5  +- 6.9 ,76.2  +- 36.6 ,89.6  +- 10.1 ,80464.3  +- 14549.4 ,61.2  +- 18.5 ,77.0  +- 10.4 ,55.2  +- 31.7 ,80.2  +- 23.2 ,94.5  +- 12.8 ,66.0  +- 26.8 ,89.4  +- 9.1 ,68.5  +- 39.2 ,80.7  +- 8.9 ,70.4  +- 11.6 ,71.0  +- 16.8 ,70.4  +- 11.6 ,72.4  +- 28.2 ,2255 +- 2625,9851 +- 11977
resc_LSTM_20_raw,60871.4  +- 17598.1 ,831.0  +- 432.1 ,61.4  +- 18.5 ,57773.8  +- 34280.2 ,63.6  +- 36.2 ,78.4  +- 13.7 ,67.9  +- 15.3 ,85.0  +- 13.4 ,31331.0  +- 19129.3 ,73.9  +- 17.7 ,94.5  +- 19.3 ,65.9  +- 19.2 ,58781.0  +- 17927.6 ,83.9  +- 14.3 ,87.1  +- 11.0 ,46.9  +- 27.7 ,95.3  +- 14.3 ,99.6  +- 0.8 ,67.8  +- 25.2 ,65.1  +- 17.4 ,69.3  +- 34.2 ,78.7  +- 11.2 ,49.0  +- 14.8 ,76.3  +- 13.2 ,49.0  +- 14.8 ,71.8  +- 26.7 ,2261 +- 2334,8707 +- 10409
resc_tl_LSTM_20_raw,74471.4  +- 17053.9 ,214.3  +- 175.0 ,74.1  +- 15.8 ,63895.2  +- 33596.4 ,68.6  +- 35.0 ,83.7  +- 9.7 ,81.1  +- 12.2 ,88.3  +- 14.1 ,19200.0  +- 15127.8 ,86.0  +- 12.7 ,90.3  +- 24.2 ,79.2  +- 15.6 ,70911.9  +- 16418.0 ,75.0  +- 17.5 ,83.1  +- 10.6 ,51.7  +- 26.8 ,92.2  +- 16.2 ,98.2  +- 8.4 ,69.2  +- 24.6 ,78.3  +- 14.6 ,73.0  +- 32.3 ,81.9  +- 9.4 ,59.8  +- 14.1 ,76.6  +- 14.2 ,59.8  +- 14.1 ,74.5  +- 25.0 ,2056 +- 2089,8224 +- 10622
tl_resc_LSTM_20_raw,92045.2  +- 15664.9 ,117.9  +- 125.3 ,87.4  +- 11.3 ,72754.8  +- 39675.0 ,70.8  +- 40.3 ,82.5  +- 7.9 ,93.3  +- 6.1 ,95.1  +- 7.1 ,7810.7  +- 8229.4 ,94.7  +- 6.5 ,75.5  +- 36.2 ,91.5  +- 8.9 ,82301.2  +- 14810.6 ,54.2  +- 18.4 ,73.8  +- 10.5 ,58.1  +- 31.1 ,77.1  +- 22.7 ,91.1  +- 15.9 ,65.5  +- 25.5 ,91.4  +- 7.8 ,70.2  +- 38.1 ,77.8  +- 9.3 ,73.5  +- 11.1 ,65.4  +- 17.8 ,73.5  +- 11.1 ,73.4  +- 27.2 ,2402 +- 2714,9185 +- 11320
LSTM_20_raw_max,940.5  +- 8619.6 ,1.2  +- 10.9 ,0.9  +- 8.6 ,940.5  +- 8619.6 ,0.8  +- 7.3 ,1.1  +- 10.1 ,0.8  +- 7.6 ,1.2  +- 10.9 ,89171.4  +- 15818.0 ,1.1  +- 10.0 ,1.2  +- 10.9 ,0.8  +- 7.3 ,940.5  +- 8619.6 ,99.9  +- 0.7 ,1.1  +- 10.3 ,0.7  +- 6.0 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.6  +- 14.6 ,0.7  +- 6.1 ,1.0  +- 8.7 ,43.5  +- 11.8 ,0.7  +- 6.0 ,59.6  +- 11.3 ,0.7  +- 6.0 ,28.5  +- 12.5 ,4126 +- 3451,6823 +- 4508
tl_LSTM_20_raw_max,1411.9  +- 12907.2 ,1.2  +- 10.9 ,1.2  +- 10.8 ,1291.7  +- 11838.3 ,1.1  +- 10.0 ,1.2  +- 10.5 ,1.2  +- 10.8 ,1.2  +- 10.9 ,88721.4  +- 17694.3 ,1.2  +- 10.8 ,1.2  +- 10.9 ,1.2  +- 10.8 ,1390.5  +- 12710.8 ,98.8  +- 10.9 ,2.3  +- 14.9 ,1.1  +- 9.9 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.6  +- 14.0 ,1.2  +- 10.8 ,1.1  +- 10.4 ,43.9  +- 11.0 ,1.2  +- 10.8 ,59.1  +- 11.4 ,1.2  +- 10.8 ,28.9  +- 13.2 ,4029 +- 3400,6896 +- 4450
resc_tl_LSTM_20_raw_max,1364.3  +- 12503.9 ,0.0  +- 0.0 ,1.1  +- 10.5 ,1263.1  +- 11576.5 ,1.1  +- 9.8 ,1.1  +- 10.4 ,1.2  +- 10.6 ,1.2  +- 10.9 ,88753.6  +- 17555.0 ,1.1  +- 10.5 ,1.2  +- 10.9 ,1.2  +- 10.5 ,1358.3  +- 12449.3 ,99.0  +- 9.0 ,1.1  +- 10.3 ,1.1  +- 9.7 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.5  +- 14.1 ,1.2  +- 10.6 ,1.1  +- 10.3 ,43.9  +- 11.0 ,1.1  +- 10.4 ,59.4  +- 10.3 ,1.1  +- 10.4 ,28.9  +- 13.1 ,4038 +- 3392,6896 +- 4450
gt,71111.9  +- 12329.5 ,4179.8  +- 2378.9 ,71.7  +- 12.3 ,69451.2  +- 27464.2 ,78.6  +- 30.0 ,100.0  +- 0.0 ,77.5  +- 11.2 ,85.8  +- 10.0 ,19100.0  +- 11985.1 ,100.0  +- 0.0 ,99.9  +- 0.1 ,79.6  +- 10.9 ,71011.9  +- 12329.5 ,100.0  +- 0.0 ,100.0  +- 0.0 ,55.6  +- 21.7 ,99.9  +- 0.2 ,98.8  +- 2.1 ,78.9  +- 25.9 ,75.2  +- 12.2 ,83.6  +- 27.1 ,100.0  +- 0.0 ,57.1  +- 10.5 ,100.0  +- 0.0 ,57.1  +- 10.5 ,83.3  +- 23.8 ,1130 +- 2283,5096 +- 8977
always1,125713.1  +- 15425.6 ,0.0  +- 0.0 ,100.0  +- 0.0 ,115913.1  +- 15425.6 ,98.5  +- 3.5 ,72.1  +- 8.5 ,100.0  +- 0.0 ,100.0  +- 0.0 ,0.0  +- 0.0 ,100.0  +- 0.0 ,77.0  +- 11.5 ,100.0  +- 0.0 ,90111.9  +- 15170.4 ,0.0  +- 0.0 ,57.1  +- 10.5 ,92.1  +- 1.0 ,27.5  +- 18.7 ,87.6  +- 6.9 ,37.7  +- 17.7 ,100.0  +- 0.0 ,85.8  +- 7.4 ,57.1  +- 10.5 ,100.0  +- 0.0 ,0.0  +- 0.0 ,100.0  +- 0.0 ,77.4  +- 10.1 ,4023 +- 3407,4688 +- 3442
always0,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,90111.9  +- 15170.4 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,100.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,100.0  +- 0.0 ,0.0  +- 0.0 ,42.3  +- 14.6 ,0.0  +- 0.0 ,0.0  +- 0.0 ,42.9  +- 10.5 ,0.0  +- 0.0 ,59.3  +- 10.8 ,0.0  +- 0.0 ,27.9  +- 11.6 ,4023 +- 3407,6874 +- 4477
binterval,87507.1  +- 21236.1 ,35.7  +- 70.5 ,87.7  +- 18.7 ,77972.6  +- 30167.9 ,82.2  +- 29.5 ,83.6  +- 12.9 ,100.0  +- 0.0 ,98.4  +- 11.0 ,8786.9  +- 15739.1 ,94.1  +- 15.2 ,92.1  +- 16.7 ,90.5  +- 17.1 ,81325.0  +- 19530.1 ,61.2  +- 21.2 ,76.6  +- 13.9 ,62.7  +- 23.8 ,86.8  +- 18.1 ,97.7  +- 10.9 ,75.2  +- 24.8 ,95.0  +- 11.3 ,83.4  +- 26.4 ,80.6  +- 11.1 ,70.1  +- 16.6 ,70.8  +- 18.5 ,70.1  +- 16.6 ,82.8  +- 22.1 ,1727 +- 2261,4686 +- 8243
wake,32540.5  +- 12376.5 ,3217.9  +- 1769.0 ,14.5  +- 8.5 ,33752.4  +- 37125.1 ,22.0  +- 33.0 ,6.6  +- 5.4 ,8.7  +- 3.9 ,51.2  +- 27.8 ,80771.4  +- 13057.2 ,4.9  +- 4.2 ,37.3  +- 39.6 ,10.0  +- 6.3 ,9340.5  +- 6589.8 ,46.4  +- 16.5 ,12.0  +- 12.0 ,26.5  +- 27.7 ,62.5  +- 28.7 ,55.6  +- 31.0 ,33.4  +- 18.2 ,10.7  +- 5.8 ,24.2  +- 31.3 ,22.8  +- 9.1 ,25.7  +- 8.7 ,33.1  +- 12.5 ,25.7  +- 8.7 ,33.4  +- 22.9 ,8335 +- 9521,16008 +- 9955
sleep,93172.6  +- 14222.6 ,3207.1  +- 1778.8 ,85.5  +- 8.5 ,99097.6  +- 24748.0 ,94.2  +- 17.7 ,82.2  +- 7.8 ,91.3  +- 3.9 ,85.3  +- 8.6 ,9340.5  +- 6589.8 ,95.1  +- 4.2 ,85.3  +- 18.3 ,90.0  +- 6.3 ,80771.4  +- 13057.2 ,53.6  +- 16.5 ,73.2  +- 11.4 ,78.7  +- 16.3 ,66.5  +- 28.5 ,93.6  +- 7.4 ,68.0  +- 24.7 ,89.3  +- 5.8 ,88.5  +- 17.3 ,77.2  +- 9.1 ,74.3  +- 8.7 ,65.2  +- 15.0 ,74.3  +- 8.7 ,85.3  +- 14.2 ,2011 +- 2806,3827 +- 5048
